preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=295.6,processes=0,dpm=auto
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=triton_fp8,asm_mi308_fp8,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
[aiter] WARNING: NUMA balancing is enabled, which may cause errors. It is recommended to disable NUMA balancing by running "sudo sh -c 'echo 0 > /proc/sys/kernel/numa_balancing'" for more details: https://rocm.docs.amd.com/en/latest/how-to/system-optimization/mi300x.html#disable-numa-auto-balancing
[aiter] import [module_aiter_core] under /sgl-workspace/aiter/aiter/jit/module_aiter_core.so
/sgl-workspace/aiter/aiter/ops/triton/gluon/__init__.py:16: UserWarning: [aiter] AITER_USE_SYSTEM_TRITON=1: aiter gluon kernels require triton>=3.6.0, found 3.4.0. Please install a compatible version via .github/scripts/install_triton.sh, otherwise unexpected errors may occur.
  warnings.warn(
[aiter] import [module_fmha_v3_varlen_fwd] under /sgl-workspace/aiter/aiter/jit/module_fmha_v3_varlen_fwd.so
[aiter] type hints mismatch, override to --> fmha_v3_varlen_fwd(q: torch.Tensor, k: torch.Tensor, v: torch.Tensor, cu_seqlens_q: torch.Tensor, cu_seqlens_k: torch.Tensor, max_seqlen_q: int, max_seqlen_k: int, min_seqlen_q: int, dropout_p: float, softmax_scale: float, logits_soft_cap: float, zero_tensors: bool, is_causal: bool, window_size_left: int, window_size_right: int, return_softmax_lse: bool, return_dropout_randval: bool, how_v3_bf16_cvt: int, out: Optional[torch.Tensor] = None, block_table: Optional[torch.Tensor] = None, bias: Optional[torch.Tensor] = None, alibi_slopes: Optional[torch.Tensor] = None, q_descale: Optional[torch.Tensor] = None, k_descale: Optional[torch.Tensor] = None, v_descale: Optional[torch.Tensor] = None, gen: Optional[torch.Generator] = None, cu_seqlens_q_padded: Optional[torch.Tensor] = None, cu_seqlens_k_padded: Optional[torch.Tensor] = None) -> List[torch.Tensor]
[aiter] pciChipId: 0x74a2, CU count: 80
[aiter] LoadKernel: _ZN5aiter24fmha_fwd_hd128_fp8_groupE hsaco: /sgl-workspace/aiter/hsa//gfx942/fmha_v3_fwd/MI308/fwd_hd128_fp8_group.co
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,triton_fp8,34,161.253,177.692,177.692,1815.5,1815.0,1817.0,520.1,523.0,75.0,46.0,16
sample,triton_fp8,35,162.422,176.414,176.414,1815.2,1815.0,1816.0,523.8,531.0,76.0,46.0,16
sample,triton_fp8,36,162.605,176.215,176.215,1815.4,1815.0,1817.0,530.4,538.0,76.0,46.0,16
sample,triton_fp8,37,161.581,177.332,177.332,1814.3,1814.0,1815.0,529.3,532.0,76.0,46.0,15
sample,triton_fp8,38,161.983,176.892,176.892,1814.3,1814.0,1815.0,525.0,527.0,76.0,46.0,16
sample,triton_fp8,39,161.542,177.374,177.374,1814.1,1813.0,1815.0,522.5,527.0,76.0,46.0,16
sample,triton_fp8,40,161.853,177.033,177.033,1813.6,1813.0,1815.0,523.5,530.0,76.0,46.0,16
sample,triton_fp8,41,162.927,175.866,175.866,1814.0,1814.0,1814.0,526.3,529.0,76.0,46.0,15
sample,triton_fp8,42,161.706,177.194,177.194,1814.5,1814.0,1816.0,521.6,524.0,76.0,46.0,16
sample,triton_fp8,43,162.933,175.860,175.860,1814.4,1814.0,1815.0,522.8,527.0,76.0,46.0,16
sample,triton_fp8,44,163.192,175.581,175.581,1814.9,1814.0,1816.0,525.6,533.0,76.0,46.0,16
sample,triton_fp8,45,162.868,175.930,175.930,1815.1,1814.0,1817.0,528.1,538.0,76.0,46.0,16
sample,triton_fp8,46,162.270,176.578,176.578,1814.7,1814.0,1816.0,528.8,531.0,76.0,46.0,16
sample,triton_fp8,47,162.588,176.233,176.233,1814.8,1814.0,1816.0,526.8,533.0,76.0,46.0,16
sample,triton_fp8,48,162.452,176.381,176.381,1814.5,1814.0,1815.0,527.1,531.0,76.0,46.0,15
sample,triton_fp8,49,162.100,176.764,176.764,1814.9,1814.0,1816.0,524.5,528.0,76.0,46.0,16
sample,triton_fp8,50,161.931,176.948,176.948,1814.7,1814.0,1816.0,522.9,526.0,76.0,46.0,16
sample,triton_fp8,51,162.041,176.828,176.828,1814.7,1814.0,1816.0,525.1,532.0,76.0,46.0,16
sample,triton_fp8,52,166.584,172.006,172.006,1795.5,1739.0,1816.0,520.8,526.0,76.0,46.0,16
sample,triton_fp8,53,163.308,175.456,175.456,1791.6,1771.0,1804.0,521.1,536.0,76.0,46.0,16
sample,triton_fp8,54,161.832,177.057,177.057,1809.6,1806.0,1812.0,526.9,529.0,76.0,46.0,16
sample,triton_fp8,55,162.687,176.126,176.126,1813.1,1813.0,1814.0,526.4,534.0,76.0,46.0,16
sample,triton_fp8,56,162.111,176.752,176.752,1814.3,1814.0,1815.0,529.1,534.0,76.0,46.0,15
sample,triton_fp8,57,162.647,176.169,176.169,1814.5,1814.0,1816.0,527.6,532.0,76.0,46.0,16
sample,triton_fp8,58,162.053,176.815,176.815,1814.4,1813.0,1816.0,528.5,535.0,76.0,46.0,16
sample,triton_fp8,59,161.724,177.175,177.175,1813.7,1813.0,1815.0,525.7,528.0,76.0,46.0,16
sample,triton_fp8,60,162.488,176.342,176.342,1814.2,1814.0,1815.0,525.2,534.0,76.0,46.0,16
sample,triton_fp8,61,162.217,176.636,176.636,1814.5,1814.0,1816.0,526.3,528.0,76.0,46.0,15
sample,triton_fp8,62,164.376,174.316,174.316,1814.4,1814.0,1815.0,525.1,528.0,76.0,46.0,16
sample,triton_fp8,63,162.642,176.174,176.174,1814.8,1814.0,1816.0,522.4,531.0,76.0,46.0,16
sample,triton_fp8,64,161.601,177.309,177.309,1814.4,1814.0,1816.0,525.4,529.0,76.0,46.0,16
sample,triton_fp8,65,163.526,175.222,175.222,1814.0,1813.0,1815.0,524.4,528.0,76.0,46.0,16
sample,triton_fp8,66,163.474,175.278,175.278,1814.4,1814.0,1815.0,526.3,535.0,76.0,46.0,16
sample,triton_fp8,67,162.209,176.645,176.645,1814.7,1814.0,1816.0,526.8,531.0,76.0,46.0,16
sample,triton_fp8,68,162.124,176.738,176.738,1814.0,1813.0,1815.0,525.9,530.0,76.0,46.0,16
sample,triton_fp8,69,163.104,175.675,175.675,1814.5,1814.0,1816.0,525.3,532.0,76.0,46.0,15
throttle,triton_fp8,{"accumulation_counter": null, "hbm_thermal_accumulated": null, "ppt_accumulated": null, "prochot_accumulated": null, "socket_thermal_accumulated": null, "vr_thermal_accumulated": null}
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,asm_mi308_fp8,0,111.532,256.907,256.907,1618.1,1522.0,1692.0,351.0,413.0,69.0,45.0,10
sample,asm_mi308_fp8,1,111.276,257.497,257.497,1740.8,1704.0,1768.0,455.5,486.0,70.0,45.0,11
sample,asm_mi308_fp8,2,111.248,257.564,257.564,1783.8,1772.0,1792.0,494.5,509.0,71.0,45.0,11
sample,asm_mi308_fp8,3,111.281,257.486,257.486,1797.3,1794.0,1799.0,507.2,519.0,72.0,45.0,11
sample,asm_mi308_fp8,4,111.249,257.561,257.561,1801.5,1801.0,1802.0,512.9,524.0,72.0,45.0,11
sample,asm_mi308_fp8,5,111.262,257.531,257.531,1802.8,1802.0,1803.0,514.9,525.0,73.0,45.0,11
sample,asm_mi308_fp8,6,111.239,257.584,257.584,1803.0,1803.0,1803.0,515.0,524.0,74.0,45.0,10
