preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=283.8,processes=0,dpm=perf_determinism
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=8wave_32x32,4wave_varlen,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
Use cuda device 0 with 99.2% Free mem : 190GB / 192 GB
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,8wave_32x32,0,148.897,192.480,192.437,1312.4,1311.0,1313.0,328.6,390.0,56.0,44.0,14
sample,8wave_32x32,1,148.494,193.002,192.959,1313.0,1313.0,1313.0,413.3,431.0,58.0,45.0,14
sample,8wave_32x32,2,148.509,192.983,192.940,1313.3,1313.0,1314.0,435.6,442.0,59.0,45.0,15
sample,8wave_32x32,3,148.515,192.976,192.933,1314.0,1314.0,1314.0,441.1,445.0,60.0,45.0,14
sample,8wave_32x32,4,172.876,165.782,165.745,1230.8,1135.0,1314.0,421.9,440.0,61.0,45.0,17
sample,8wave_32x32,5,178.544,160.519,160.483,1110.7,1083.0,1147.0,393.6,399.0,62.0,45.0,18
sample,8wave_32x32,6,156.797,182.782,182.742,1145.3,1098.0,1224.0,402.3,424.0,62.0,45.0,15
sample,8wave_32x32,7,148.892,192.487,192.444,1264.6,1232.0,1288.0,431.6,440.0,63.0,45.0,14
sample,8wave_32x32,8,148.458,193.049,193.006,1299.9,1291.0,1306.0,439.9,444.0,64.0,45.0,15
sample,8wave_32x32,9,148.482,193.019,192.976,1308.3,1307.0,1310.0,442.5,445.0,65.0,45.0,14
sample,8wave_32x32,10,164.379,174.351,174.313,1268.9,1175.0,1312.0,432.7,443.0,65.0,46.0,16
sample,8wave_32x32,11,178.941,160.163,160.128,1126.9,1088.0,1177.0,398.1,407.0,65.0,46.0,18
sample,8wave_32x32,12,165.103,173.586,173.548,1118.9,1102.0,1171.0,396.4,412.0,65.0,45.0,16
sample,8wave_32x32,13,148.814,192.587,192.545,1238.8,1185.0,1273.0,426.2,437.0,66.0,46.0,14
sample,8wave_32x32,14,148.345,193.197,193.154,1292.6,1277.0,1303.0,439.0,444.0,66.0,46.0,15
sample,8wave_32x32,15,148.492,193.006,192.963,1306.0,1304.0,1307.0,442.0,446.0,67.0,46.0,14
