preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=283.8,processes=0,dpm=perf_determinism
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=8wave_32x32,4wave_varlen,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
Use cuda device 0 with 99.2% Free mem : 190GB / 192 GB
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,8wave_32x32,0,122.554,233.853,233.801,1477.6,1411.0,1528.0,360.5,447.0,55.0,43.0,11
sample,8wave_32x32,1,122.083,234.757,234.705,1559.4,1536.0,1576.0,493.8,526.0,57.0,43.0,12
sample,8wave_32x32,2,164.563,174.157,174.118,1408.6,1218.0,1582.0,479.9,528.0,59.0,43.0,16
sample,8wave_32x32,3,178.966,160.141,160.105,1144.9,1095.0,1211.0,403.1,418.0,60.0,43.0,18
sample,8wave_32x32,4,178.663,160.412,160.377,1094.9,1077.0,1117.0,387.3,390.0,60.0,43.0,17
sample,8wave_32x32,5,178.181,160.846,160.811,1087.5,1075.0,1104.0,384.8,386.0,60.0,43.0,17
sample,8wave_32x32,6,140.375,204.166,204.121,1178.3,1094.0,1346.0,414.1,475.0,61.0,43.0,13
sample,8wave_32x32,7,122.470,234.015,233.963,1455.5,1370.0,1519.0,507.9,535.0,63.0,43.0,12
sample,8wave_32x32,8,147.449,194.371,194.328,1478.3,1315.0,1554.0,517.1,544.0,64.0,43.0,14
sample,8wave_32x32,9,178.525,160.536,160.501,1187.3,1110.0,1292.0,420.7,453.0,64.0,43.0,18
sample,8wave_32x32,10,178.617,160.453,160.418,1101.2,1080.0,1129.0,391.4,396.0,64.0,43.0,17
sample,8wave_32x32,11,178.445,160.608,160.573,1087.1,1074.0,1104.0,386.1,388.0,64.0,43.0,18
sample,8wave_32x32,12,157.556,181.902,181.862,1118.0,1092.0,1223.0,394.5,430.0,64.0,44.0,15
sample,8wave_32x32,13,122.694,233.587,233.536,1388.9,1262.0,1479.0,485.5,521.0,65.0,44.0,12
sample,8wave_32x32,14,130.307,219.941,219.892,1519.0,1454.0,1552.0,531.4,546.0,67.0,44.0,13
sample,8wave_32x32,15,177.988,161.020,160.985,1256.2,1139.0,1436.0,442.8,498.0,67.0,44.0,17
sample,8wave_32x32,16,178.157,160.867,160.832,1114.6,1085.0,1154.0,395.6,404.0,66.0,44.0,17
sample,8wave_32x32,17,178.733,160.349,160.313,1088.2,1075.0,1106.0,386.3,389.0,66.0,44.0,18
sample,8wave_32x32,18,171.934,166.691,166.654,1104.6,1093.0,1115.0,389.5,394.0,65.0,44.0,16
sample,8wave_32x32,19,125.882,227.672,227.621,1289.0,1112.0,1428.0,448.7,496.0,66.0,44.0,13
sample,8wave_32x32,20,122.389,234.170,234.118,1497.0,1443.0,1538.0,522.3,541.0,67.0,44.0,11
sample,8wave_32x32,21,168.548,170.038,170.001,1366.3,1188.0,1552.0,479.9,539.0,68.0,44.0,17
sample,8wave_32x32,22,178.307,160.732,160.696,1136.6,1082.0,1190.0,404.0,418.0,68.0,44.0,17
sample,8wave_32x32,23,177.944,161.060,161.024,1099.9,1079.0,1126.0,390.2,395.0,67.0,44.0,18
sample,8wave_32x32,24,172.951,165.710,165.674,1103.2,1094.0,1113.0,390.8,394.0,66.0,44.0,16
sample,8wave_32x32,25,142.459,201.179,201.134,1187.9,1115.0,1324.0,415.2,462.0,66.0,44.0,13
sample,8wave_32x32,26,122.932,233.134,233.083,1441.3,1351.0,1507.0,501.1,529.0,67.0,44.0,12
