preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=283.8,processes=0,dpm=perf_determinism
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=8wave_32x32,4wave_varlen,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
Use cuda device 0 with 99.2% Free mem : 190GB / 192 GB
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,8wave_32x32,0,133.638,214.458,214.410,1430.5,1400.0,1457.0,345.1,416.0,56.0,44.0,12
sample,8wave_32x32,1,129.646,221.061,221.012,1457.7,1431.0,1476.0,457.3,486.0,57.0,44.0,13
sample,8wave_32x32,2,146.931,195.055,195.012,1444.9,1316.0,1486.0,482.4,498.0,59.0,44.0,14
sample,8wave_32x32,3,178.477,160.580,160.544,1187.3,1110.0,1292.0,413.9,439.0,60.0,44.0,18
sample,8wave_32x32,4,178.515,160.545,160.510,1100.4,1079.0,1128.0,390.5,395.0,61.0,44.0,17
sample,8wave_32x32,5,178.674,160.402,160.367,1086.5,1074.0,1103.0,386.4,388.0,61.0,44.0,17
sample,8wave_32x32,6,144.090,198.901,198.857,1174.4,1093.0,1317.0,411.2,455.0,62.0,44.0,14
sample,8wave_32x32,7,133.718,214.330,214.282,1371.3,1334.0,1424.0,470.4,487.0,63.0,44.0,13
sample,8wave_32x32,8,132.310,216.611,216.563,1454.6,1431.0,1471.0,498.0,507.0,64.0,44.0,12
sample,8wave_32x32,9,178.240,160.793,160.757,1260.0,1136.0,1439.0,439.5,491.0,65.0,44.0,18
sample,8wave_32x32,10,178.046,160.968,160.932,1113.1,1084.0,1149.0,396.4,403.0,65.0,44.0,17
sample,8wave_32x32,11,178.365,160.680,160.644,1089.2,1075.0,1107.0,388.8,390.0,64.0,45.0,17
sample,8wave_32x32,12,159.769,179.382,179.342,1113.8,1091.0,1203.0,394.7,424.0,64.0,44.0,15
sample,8wave_32x32,13,133.811,214.181,214.133,1323.5,1234.0,1376.0,456.8,474.0,65.0,44.0,13
sample,8wave_32x32,14,129.490,221.327,221.278,1432.8,1388.0,1463.0,490.2,503.0,66.0,45.0,13
sample,8wave_32x32,15,165.502,173.168,173.130,1336.1,1186.0,1472.0,462.0,501.0,67.0,45.0,16
sample,8wave_32x32,16,178.253,160.781,160.746,1134.8,1093.0,1187.0,402.9,415.0,67.0,45.0,17
sample,8wave_32x32,17,177.809,161.182,161.147,1093.9,1077.0,1112.0,390.4,393.0,66.0,45.0,17
sample,8wave_32x32,18,173.105,165.563,165.526,1099.2,1077.0,1108.0,390.8,395.0,66.0,45.0,17
sample,8wave_32x32,19,135.207,211.970,211.923,1244.2,1107.0,1347.0,433.3,468.0,66.0,45.0,13
sample,8wave_32x32,20,130.378,219.820,219.772,1411.6,1358.0,1451.0,484.1,501.0,67.0,45.0,13
sample,8wave_32x32,21,150.102,190.935,190.893,1412.0,1272.0,1471.0,486.3,505.0,68.0,45.0,15
sample,8wave_32x32,22,178.999,160.111,160.076,1170.7,1106.0,1261.0,414.3,438.0,68.0,45.0,17
sample,8wave_32x32,23,177.467,161.493,161.457,1101.4,1082.0,1123.0,392.7,396.0,67.0,45.0,18
sample,8wave_32x32,24,173.120,165.548,165.512,1104.2,1097.0,1111.0,392.3,395.0,67.0,45.0,16
sample,8wave_32x32,25,149.415,191.813,191.770,1175.6,1105.0,1271.0,411.2,441.0,67.0,45.0,15
sample,8wave_32x32,26,130.981,218.808,218.760,1366.9,1290.0,1422.0,468.4,489.0,67.0,45.0,13
sample,8wave_32x32,27,134.972,212.338,212.291,1449.5,1414.0,1467.0,496.2,505.0,68.0,45.0,13
sample,8wave_32x32,28,178.598,160.470,160.435,1237.1,1132.0,1394.0,434.1,477.0,68.0,45.0,17
sample,8wave_32x32,29,178.354,160.690,160.655,1110.8,1083.0,1144.0,395.5,402.0,68.0,45.0,18
sample,8wave_32x32,30,172.544,166.101,166.064,1107.6,1099.0,1114.0,393.1,396.0,67.0,45.0,16
sample,8wave_32x32,31,160.858,178.168,178.129,1129.9,1108.0,1207.0,397.9,423.0,67.0,45.0,16
sample,8wave_32x32,32,135.031,212.246,212.199,1310.0,1201.0,1389.0,453.4,481.0,67.0,45.0,13
sample,8wave_32x32,33,129.698,220.973,220.924,1438.3,1397.0,1466.0,492.4,505.0,68.0,45.0,13
sample,8wave_32x32,34,168.233,170.357,170.319,1324.8,1179.0,1473.0,459.8,502.0,69.0,45.0,16
sample,8wave_32x32,35,178.694,160.384,160.349,1128.2,1089.0,1180.0,401.2,412.0,68.0,45.0,18
sample,8wave_32x32,36,172.482,166.160,166.124,1112.0,1104.0,1119.0,394.3,397.0,68.0,45.0,16
sample,8wave_32x32,37,172.035,166.592,166.555,1118.0,1108.0,1127.0,395.3,397.0,67.0,45.0,17
sample,8wave_32x32,38,137.634,208.232,208.186,1239.1,1122.0,1345.0,431.1,464.0,67.0,45.0,14
sample,8wave_32x32,39,130.653,219.358,219.309,1404.4,1359.0,1443.0,481.9,498.0,68.0,45.0,12
sample,8wave_32x32,40,153.059,187.246,187.204,1399.3,1255.0,1468.0,482.7,504.0,69.0,45.0,15
sample,8wave_32x32,41,178.918,160.183,160.148,1159.9,1100.0,1241.0,411.7,433.0,69.0,45.0,18
sample,8wave_32x32,42,172.984,165.679,165.642,1115.2,1106.0,1122.0,396.2,398.0,68.0,45.0,16
sample,8wave_32x32,43,172.056,166.572,166.535,1120.1,1112.0,1127.0,396.7,399.0,68.0,45.0,16
sample,8wave_32x32,44,151.408,189.288,189.246,1168.9,1116.0,1263.0,408.9,439.0,67.0,45.0,15
sample,8wave_32x32,45,132.011,217.101,217.053,1358.7,1283.0,1413.0,466.4,486.0,68.0,45.0,13
sample,8wave_32x32,46,138.363,207.134,207.089,1440.3,1389.0,1464.0,493.5,504.0,69.0,45.0,13
sample,8wave_32x32,47,178.644,160.429,160.394,1223.3,1125.0,1358.0,429.0,466.0,69.0,45.0,18
sample,8wave_32x32,48,172.084,166.545,166.508,1128.4,1119.0,1144.0,400.0,402.0,68.0,45.0,16
sample,8wave_32x32,49,172.815,165.840,165.803,1121.0,1111.0,1134.0,396.8,399.0,68.0,46.0,16
sample,8wave_32x32,50,163.471,175.320,175.281,1134.8,1114.0,1185.0,399.7,415.0,67.0,45.0,16
sample,8wave_32x32,51,134.038,213.817,213.770,1296.5,1190.0,1373.0,445.9,472.0,67.0,45.0,13
sample,8wave_32x32,52,130.257,220.024,219.975,1424.3,1381.0,1456.0,486.9,502.0,68.0,46.0,13
sample,8wave_32x32,53,172.849,165.808,165.771,1294.2,1156.0,1463.0,451.2,497.0,69.0,46.0,17
sample,8wave_32x32,54,171.732,166.887,166.850,1142.0,1123.0,1166.0,403.9,409.0,68.0,46.0,17
sample,8wave_32x32,55,173.118,165.550,165.514,1124.3,1112.0,1142.0,398.0,400.0,68.0,45.0,16
sample,8wave_32x32,56,170.857,167.741,167.704,1124.6,1113.0,1133.0,396.1,400.0,67.0,45.0,17
sample,8wave_32x32,57,140.045,204.646,204.601,1233.5,1132.0,1328.0,428.5,458.0,67.0,46.0,14
sample,8wave_32x32,58,131.555,217.853,217.805,1392.2,1345.0,1428.0,477.5,492.0,68.0,45.0,12
sample,8wave_32x32,59,156.774,182.809,182.768,1365.7,1221.0,1458.0,471.8,499.0,68.0,45.0,15
sample,8wave_32x32,60,172.804,165.851,165.815,1166.0,1133.0,1219.0,411.2,425.0,68.0,45.0,17
