preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=283.8,processes=0,dpm=perf_determinism
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=8wave_32x32,4wave_varlen,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
Use cuda device 0 with 99.2% Free mem : 190GB / 192 GB
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,8wave_32x32,0,138.716,206.607,206.561,1396.0,1390.0,1400.0,336.8,405.0,56.0,44.0,13
sample,8wave_32x32,1,138.307,207.218,207.173,1401.7,1400.0,1403.0,433.5,454.0,58.0,44.0,13
sample,8wave_32x32,2,138.333,207.179,207.133,1403.5,1403.0,1404.0,460.6,469.0,59.0,45.0,14
sample,8wave_32x32,3,173.213,165.460,165.423,1266.1,1146.0,1404.0,432.2,463.0,60.0,45.0,17
sample,8wave_32x32,4,178.505,160.554,160.518,1115.9,1085.0,1156.0,395.8,403.0,61.0,45.0,17
sample,8wave_32x32,5,178.606,160.463,160.428,1088.8,1075.0,1108.0,387.8,390.0,61.0,45.0,18
sample,8wave_32x32,6,150.057,190.993,190.950,1153.9,1091.0,1263.0,404.3,436.0,62.0,45.0,14
sample,8wave_32x32,7,138.519,206.901,206.855,1329.1,1277.0,1366.0,451.1,464.0,63.0,45.0,14
sample,8wave_32x32,8,138.269,207.275,207.229,1381.3,1370.0,1390.0,466.2,472.0,64.0,45.0,13
sample,8wave_32x32,9,161.432,177.534,177.495,1323.2,1195.0,1395.0,451.1,469.0,65.0,45.0,16
sample,8wave_32x32,10,178.416,160.634,160.599,1138.6,1094.0,1196.0,402.9,415.0,65.0,45.0,17
sample,8wave_32x32,11,178.006,161.004,160.969,1094.1,1077.0,1116.0,390.6,393.0,65.0,45.0,18
sample,8wave_32x32,12,162.638,176.218,176.179,1110.2,1092.0,1174.0,394.1,413.0,65.0,45.0,15
sample,8wave_32x32,13,138.674,206.669,206.624,1292.3,1217.0,1342.0,442.9,458.0,65.0,45.0,13
sample,8wave_32x32,14,138.349,207.156,207.110,1370.4,1348.0,1384.0,463.2,470.0,66.0,45.0,13
sample,8wave_32x32,15,149.102,192.215,192.172,1372.5,1284.0,1395.0,464.8,472.0,67.0,45.0,15
sample,8wave_32x32,16,179.104,160.017,159.982,1181.6,1113.0,1271.0,413.9,434.0,67.0,46.0,17
sample,8wave_32x32,17,177.390,161.563,161.528,1106.6,1083.0,1133.0,393.5,398.0,67.0,46.0,18
sample,8wave_32x32,18,172.888,165.771,165.734,1104.9,1096.0,1111.0,392.6,396.0,66.0,46.0,16
sample,8wave_32x32,19,140.383,204.154,204.109,1233.0,1131.0,1311.0,426.9,450.0,67.0,46.0,13
sample,8wave_32x32,20,138.539,206.870,206.825,1353.5,1318.0,1378.0,459.1,468.0,67.0,46.0,14
sample,8wave_32x32,21,138.598,206.784,206.738,1388.3,1380.0,1395.0,469.0,474.0,68.0,46.0,13
sample,8wave_32x32,22,177.038,161.885,161.849,1245.9,1136.0,1389.0,431.3,465.0,68.0,46.0,17
sample,8wave_32x32,23,178.114,160.907,160.871,1112.7,1084.0,1145.0,395.9,401.0,68.0,46.0,18
