preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=283.8,processes=0,dpm=perf_determinism
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=8wave_32x32,4wave_varlen,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
Use cuda device 0 with 99.2% Free mem : 190GB / 192 GB
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,8wave_32x32,0,115.898,247.285,247.230,1517.0,1418.0,1590.0,382.9,483.0,55.0,41.0,11
sample,8wave_32x32,1,116.547,245.907,245.852,1632.7,1601.0,1654.0,532.5,567.0,57.0,41.0,11
sample,8wave_32x32,2,176.642,162.248,162.212,1365.9,1183.0,1633.0,471.8,552.0,58.0,42.0,17
sample,8wave_32x32,3,178.725,160.356,160.321,1131.0,1090.0,1184.0,397.4,410.0,59.0,42.0,18
sample,8wave_32x32,4,178.469,160.586,160.551,1091.8,1076.0,1112.0,385.6,388.0,59.0,42.0,17
sample,8wave_32x32,5,178.434,160.618,160.582,1086.1,1074.0,1102.0,382.8,384.0,59.0,42.0,17
sample,8wave_32x32,6,136.284,210.293,210.247,1190.8,1094.0,1390.0,418.7,496.0,60.0,42.0,13
sample,8wave_32x32,7,115.633,247.850,247.795,1513.5,1419.0,1587.0,539.1,572.0,62.0,42.0,11
sample,8wave_32x32,8,157.904,181.501,181.461,1456.7,1256.0,1615.0,519.3,576.0,64.0,42.0,15
sample,8wave_32x32,9,178.903,160.197,160.162,1162.1,1101.0,1242.0,412.2,438.0,64.0,42.0,18
sample,8wave_32x32,10,178.786,160.302,160.266,1098.5,1079.0,1123.0,387.8,392.0,63.0,42.0,17
sample,8wave_32x32,11,178.144,160.879,160.844,1088.6,1076.0,1106.0,383.4,385.0,63.0,42.0,18
sample,8wave_32x32,12,156.302,183.361,183.320,1122.1,1095.0,1246.0,393.7,439.0,63.0,42.0,15
sample,8wave_32x32,13,115.710,247.685,247.630,1431.8,1289.0,1534.0,508.0,550.0,64.0,42.0,11
sample,8wave_32x32,14,137.611,208.266,208.219,1543.9,1397.0,1612.0,551.8,579.0,66.0,42.0,13
sample,8wave_32x32,15,178.966,160.140,160.105,1221.3,1123.0,1366.0,434.2,485.0,66.0,43.0,18
sample,8wave_32x32,16,178.556,160.508,160.472,1107.5,1082.0,1140.0,391.7,399.0,66.0,42.0,17
sample,8wave_32x32,17,178.552,160.512,160.477,1089.6,1075.0,1109.0,384.6,387.0,65.0,42.0,18
sample,8wave_32x32,18,171.940,166.684,166.647,1104.6,1092.0,1114.0,387.6,391.0,64.0,42.0,16
sample,8wave_32x32,19,119.575,239.680,239.627,1304.8,1112.0,1469.0,457.7,524.0,65.0,42.0,12
sample,8wave_32x32,20,118.819,241.205,241.152,1560.8,1489.0,1606.0,555.7,577.0,67.0,43.0,12
sample,8wave_32x32,21,178.188,160.840,160.804,1313.6,1162.0,1550.0,467.1,546.0,67.0,43.0,17
sample,8wave_32x32,22,178.575,160.491,160.456,1127.4,1094.0,1171.0,398.9,411.0,67.0,43.0,17
sample,8wave_32x32,23,178.335,160.707,160.671,1095.9,1078.0,1120.0,386.1,389.0,66.0,43.0,18
sample,8wave_32x32,24,172.425,166.215,166.178,1106.4,1093.0,1117.0,387.6,392.0,65.0,43.0,17
sample,8wave_32x32,25,138.738,206.574,206.529,1199.3,1119.0,1363.0,417.2,478.0,65.0,43.0,13
sample,8wave_32x32,26,115.907,247.265,247.211,1497.8,1394.0,1574.0,529.2,565.0,66.0,43.0,11
sample,8wave_32x32,27,161.809,177.120,177.081,1429.6,1230.0,1606.0,509.2,571.0,67.0,43.0,16
sample,8wave_32x32,28,178.875,160.222,160.187,1151.3,1098.0,1224.0,408.8,431.0,67.0,43.0,18
sample,8wave_32x32,29,177.419,161.537,161.502,1100.4,1081.0,1122.0,388.6,392.0,67.0,43.0,17
sample,8wave_32x32,30,173.104,165.564,165.527,1105.6,1093.0,1114.0,388.3,392.0,66.0,43.0,17
sample,8wave_32x32,31,157.348,182.142,182.102,1138.9,1115.0,1234.0,397.4,430.0,65.0,43.0,15
sample,8wave_32x32,32,116.866,245.237,245.182,1413.5,1267.0,1522.0,495.9,543.0,66.0,43.0,11
sample,8wave_32x32,33,141.730,202.213,202.169,1515.6,1348.0,1602.0,539.9,574.0,67.0,43.0,14
sample,8wave_32x32,34,179.085,160.034,159.998,1201.6,1115.0,1326.0,426.4,468.0,67.0,43.0,18
sample,8wave_32x32,35,177.711,161.272,161.236,1108.5,1084.0,1136.0,392.0,397.0,67.0,43.0,17
sample,8wave_32x32,36,172.311,166.326,166.289,1109.3,1098.0,1116.0,389.8,393.0,66.0,43.0,17
sample,8wave_32x32,37,171.898,166.725,166.688,1126.6,1118.0,1133.0,393.4,397.0,66.0,43.0,16
sample,8wave_32x32,38,121.941,235.030,234.978,1298.1,1124.0,1450.0,452.2,512.0,66.0,43.0,12
sample,8wave_32x32,39,122.634,233.702,233.650,1545.8,1471.0,1594.0,547.2,571.0,67.0,43.0,12
sample,8wave_32x32,40,178.329,160.713,160.677,1291.5,1148.0,1507.0,458.4,532.0,68.0,43.0,18
sample,8wave_32x32,41,178.502,160.557,160.522,1118.6,1086.0,1161.0,396.9,407.0,67.0,43.0,17
sample,8wave_32x32,42,172.482,166.160,166.124,1110.8,1093.0,1120.0,390.6,395.0,66.0,43.0,17
sample,8wave_32x32,43,172.065,166.563,166.527,1118.5,1103.0,1127.0,391.7,396.0,66.0,43.0,17
sample,8wave_32x32,44,140.552,203.908,203.863,1196.2,1121.0,1342.0,415.7,468.0,65.0,43.0,13
sample,8wave_32x32,45,116.748,245.484,245.430,1488.1,1374.0,1571.0,524.6,560.0,67.0,43.0,12
sample,8wave_32x32,46,165.121,173.568,173.529,1393.4,1208.0,1593.0,495.1,564.0,67.0,43.0,16
sample,8wave_32x32,47,178.132,160.890,160.855,1146.0,1097.0,1210.0,406.1,425.0,67.0,43.0,17
sample,8wave_32x32,48,173.137,165.532,165.496,1112.6,1100.0,1122.0,391.4,394.0,67.0,43.0,17
sample,8wave_32x32,49,171.747,166.871,166.835,1117.9,1105.0,1129.0,391.2,394.0,66.0,43.0,17
