preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=283.8,processes=0,dpm=perf_determinism
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=8wave_32x32,4wave_varlen,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
Use cuda device 0 with 99.2% Free mem : 190GB / 192 GB
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,8wave_32x32,0,111.847,256.240,256.183,1534.0,1427.0,1615.0,388.2,492.0,55.0,41.0,10
sample,8wave_32x32,1,120.241,238.352,238.299,1659.8,1602.0,1689.0,552.2,588.0,57.0,41.0,12
sample,8wave_32x32,2,178.310,160.730,160.695,1323.1,1165.0,1561.0,462.2,536.0,59.0,42.0,17
sample,8wave_32x32,3,178.538,160.524,160.489,1123.1,1087.0,1169.0,395.8,407.0,59.0,42.0,18
sample,8wave_32x32,4,178.259,160.775,160.740,1090.9,1075.0,1111.0,385.2,387.0,59.0,42.0,17
sample,8wave_32x32,5,178.577,160.489,160.454,1083.6,1072.0,1099.0,382.6,384.0,59.0,42.0,18
sample,8wave_32x32,6,132.700,215.974,215.927,1187.2,1091.0,1387.0,420.0,502.0,60.0,42.0,12
sample,8wave_32x32,7,111.936,256.037,255.980,1549.7,1455.0,1623.0,565.6,600.0,62.0,42.0,10
sample,8wave_32x32,8,165.402,173.273,173.235,1436.1,1227.0,1649.0,521.2,603.0,64.0,42.0,16
sample,8wave_32x32,9,178.885,160.213,160.178,1148.6,1096.0,1216.0,409.7,434.0,64.0,42.0,18
sample,8wave_32x32,10,177.884,161.115,161.079,1096.2,1078.0,1117.0,387.8,391.0,64.0,42.0,17
sample,8wave_32x32,11,178.156,160.869,160.833,1086.4,1075.0,1102.0,383.9,386.0,63.0,42.0,18
sample,8wave_32x32,12,154.285,185.758,185.717,1124.1,1092.0,1270.0,395.2,449.0,63.0,42.0,15
sample,8wave_32x32,13,112.004,255.882,255.825,1459.5,1317.0,1568.0,526.2,575.0,64.0,42.0,10
sample,8wave_32x32,14,143.497,199.724,199.679,1535.0,1348.0,1643.0,560.4,603.0,66.0,42.0,13
sample,8wave_32x32,15,178.909,160.192,160.156,1200.4,1115.0,1322.0,430.3,476.0,66.0,43.0,18
sample,8wave_32x32,16,178.739,160.344,160.308,1104.8,1084.0,1133.0,392.1,398.0,66.0,43.0,17
sample,8wave_32x32,17,177.568,161.402,161.366,1091.6,1077.0,1110.0,385.3,387.0,65.0,42.0,18
sample,8wave_32x32,18,172.610,166.037,166.001,1101.4,1093.0,1108.0,387.6,391.0,65.0,42.0,16
sample,8wave_32x32,19,115.276,248.618,248.563,1330.2,1110.0,1507.0,472.6,546.0,65.0,42.0,12
sample,8wave_32x32,20,123.141,232.739,232.688,1583.3,1508.0,1636.0,577.2,603.0,67.0,42.0,12
sample,8wave_32x32,21,178.183,160.844,160.809,1279.6,1148.0,1486.0,460.8,534.0,67.0,43.0,17
sample,8wave_32x32,22,178.270,160.766,160.730,1118.7,1087.0,1160.0,398.0,409.0,67.0,43.0,17
sample,8wave_32x32,23,178.036,160.977,160.941,1091.8,1077.0,1109.0,387.1,389.0,66.0,43.0,18
sample,8wave_32x32,24,172.650,165.999,165.962,1102.5,1093.0,1111.0,388.9,393.0,65.0,43.0,16
sample,8wave_32x32,25,136.018,210.706,210.659,1203.0,1105.0,1396.0,422.6,498.0,65.0,43.0,14
sample,8wave_32x32,26,112.350,255.093,255.036,1540.1,1431.0,1620.0,557.5,594.0,67.0,43.0,11
sample,8wave_32x32,27,168.083,170.510,170.472,1397.3,1205.0,1633.0,506.2,594.0,68.0,43.0,16
sample,8wave_32x32,28,178.034,160.979,160.944,1148.8,1100.0,1204.0,409.3,427.0,67.0,43.0,17
sample,8wave_32x32,29,178.466,160.589,160.554,1096.8,1077.0,1122.0,388.3,392.0,67.0,43.0,18
sample,8wave_32x32,30,172.424,166.216,166.180,1104.9,1093.0,1114.0,389.3,393.0,66.0,43.0,16
sample,8wave_32x32,31,156.005,183.711,183.670,1138.2,1106.0,1257.0,398.4,440.0,65.0,43.0,16
sample,8wave_32x32,32,113.438,252.645,252.590,1449.9,1301.0,1566.0,518.3,570.0,67.0,43.0,11
sample,8wave_32x32,33,147.272,194.604,194.561,1501.0,1305.0,1630.0,544.6,595.0,68.0,43.0,14
sample,8wave_32x32,34,177.773,161.215,161.179,1189.8,1117.0,1291.0,425.4,461.0,68.0,43.0,17
sample,8wave_32x32,35,177.737,161.247,161.212,1104.6,1081.0,1131.0,391.7,397.0,67.0,43.0,18
sample,8wave_32x32,36,173.009,165.655,165.618,1105.5,1096.0,1115.0,388.8,393.0,66.0,43.0,17
sample,8wave_32x32,37,171.352,167.257,167.220,1119.2,1111.0,1125.0,392.6,395.0,66.0,43.0,16
sample,8wave_32x32,38,119.031,240.775,240.721,1317.2,1127.0,1482.0,463.2,532.0,66.0,43.0,12
sample,8wave_32x32,39,125.713,227.978,227.927,1564.4,1486.0,1620.0,566.6,594.0,68.0,43.0,12
sample,8wave_32x32,40,178.757,160.328,160.293,1269.5,1144.0,1455.0,455.6,521.0,68.0,43.0,17
sample,8wave_32x32,41,177.788,161.202,161.166,1118.7,1087.0,1152.0,397.4,406.0,68.0,43.0,18
sample,8wave_32x32,42,172.757,165.896,165.859,1115.4,1108.0,1125.0,391.6,394.0,67.0,43.0,17
sample,8wave_32x32,43,172.208,166.425,166.388,1119.9,1112.0,1128.0,393.2,396.0,66.0,43.0,16
sample,8wave_32x32,44,138.169,207.425,207.379,1203.1,1116.0,1372.0,419.7,485.0,66.0,43.0,14
sample,8wave_32x32,45,113.248,253.071,253.015,1518.5,1409.0,1605.0,545.1,588.0,67.0,43.0,11
sample,8wave_32x32,46,170.871,167.728,167.690,1384.2,1200.0,1619.0,499.1,585.0,68.0,43.0,16
sample,8wave_32x32,47,178.672,160.404,160.368,1138.6,1093.0,1196.0,405.1,422.0,68.0,43.0,18
sample,8wave_32x32,48,171.813,166.808,166.771,1114.1,1104.0,1123.0,392.4,395.0,67.0,43.0,17
sample,8wave_32x32,49,173.033,165.631,165.595,1118.3,1110.0,1129.0,392.3,394.0,66.0,43.0,16
sample,8wave_32x32,50,156.692,182.905,182.864,1144.7,1112.0,1241.0,398.7,432.0,66.0,43.0,16
sample,8wave_32x32,51,115.230,248.717,248.662,1428.5,1286.0,1539.0,506.2,556.0,67.0,43.0,11
sample,8wave_32x32,52,149.100,192.218,192.175,1483.7,1297.0,1613.0,535.6,585.0,68.0,43.0,14
sample,8wave_32x32,53,178.969,160.138,160.103,1177.7,1107.0,1275.0,420.8,455.0,68.0,43.0,18
sample,8wave_32x32,54,171.897,166.726,166.689,1119.1,1111.0,1126.0,394.6,397.0,67.0,43.0,17
sample,8wave_32x32,55,173.102,165.565,165.528,1121.1,1112.0,1135.0,392.7,394.0,66.0,43.0,16
sample,8wave_32x32,56,170.487,168.105,168.068,1124.9,1113.0,1136.0,393.6,398.0,66.0,43.0,17
sample,8wave_32x32,57,122.319,234.304,234.252,1305.0,1137.0,1457.0,455.6,518.0,66.0,43.0,12
sample,8wave_32x32,58,128.656,222.762,222.712,1541.6,1476.0,1602.0,553.8,582.0,68.0,43.0,12
sample,8wave_32x32,59,178.172,160.854,160.819,1260.2,1137.0,1440.0,449.5,514.0,68.0,43.0,18
sample,8wave_32x32,60,173.173,165.498,165.461,1128.9,1116.0,1150.0,398.2,404.0,67.0,43.0,17
sample,8wave_32x32,61,172.108,166.522,166.485,1125.4,1115.0,1140.0,394.1,396.0,67.0,43.0,16
sample,8wave_32x32,62,172.673,165.977,165.940,1120.0,1111.0,1133.0,392.9,395.0,66.0,43.0,17
sample,8wave_32x32,63,139.809,204.992,204.946,1201.6,1122.0,1356.0,418.4,476.0,65.0,43.0,14
