preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=283.8,processes=0,dpm=perf_determinism
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=8wave_32x32,4wave_varlen,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
Use cuda device 0 with 99.2% Free mem : 190GB / 192 GB
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,8wave_32x32,49,174.292,164.435,164.399,1110.0,1110.0,1110.0,395.8,398.0,66.0,48.0,17
sample,8wave_32x32,50,174.372,164.359,164.323,1110.0,1110.0,1110.0,396.5,399.0,66.0,47.0,17
sample,8wave_32x32,51,174.369,164.362,164.326,1110.0,1110.0,1110.0,396.4,398.0,66.0,47.0,17
sample,8wave_32x32,52,174.393,164.340,164.304,1110.0,1110.0,1110.0,396.4,399.0,66.0,47.0,17
sample,8wave_32x32,53,174.239,164.485,164.448,1110.0,1110.0,1110.0,396.3,399.0,66.0,47.0,17
sample,8wave_32x32,54,177.643,161.333,161.298,1099.8,1088.0,1110.0,393.5,398.0,66.0,48.0,17
sample,8wave_32x32,55,174.620,164.126,164.090,1107.2,1105.0,1109.0,395.1,398.0,66.0,48.0,17
sample,8wave_32x32,56,174.480,164.258,164.222,1109.8,1109.0,1110.0,395.7,398.0,66.0,47.0,17
sample,8wave_32x32,57,174.493,164.246,164.209,1110.0,1110.0,1110.0,395.2,398.0,66.0,47.0,17
sample,8wave_32x32,58,174.386,164.347,164.310,1110.0,1110.0,1110.0,396.2,399.0,66.0,47.0,17
sample,8wave_32x32,59,174.336,164.394,164.357,1110.0,1110.0,1110.0,396.1,399.0,66.0,47.0,17
sample,8wave_32x32,60,174.324,164.405,164.369,1110.0,1110.0,1110.0,396.1,399.0,66.0,47.0,17
sample,8wave_32x32,61,174.315,164.413,164.377,1110.0,1110.0,1110.0,396.2,400.0,66.0,47.0,17
sample,8wave_32x32,62,174.451,164.285,164.249,1110.0,1110.0,1110.0,396.8,399.0,66.0,47.0,17
sample,8wave_32x32,63,174.418,164.316,164.280,1110.0,1110.0,1110.0,396.2,398.0,66.0,47.0,17
sample,8wave_32x32,64,174.423,164.312,164.275,1110.0,1110.0,1110.0,396.5,399.0,66.0,47.0,17
sample,8wave_32x32,65,174.410,164.324,164.288,1110.1,1110.0,1111.0,396.2,398.0,66.0,47.0,17
sample,8wave_32x32,66,174.342,164.388,164.352,1110.2,1110.0,1111.0,395.7,398.0,66.0,47.0,17
