preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=283.8,processes=0,dpm=perf_determinism
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=8wave_32x32,4wave_varlen,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
Use cuda device 0 with 99.2% Free mem : 190GB / 192 GB
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,8wave_32x32,0,165.180,173.506,173.467,1190.1,1172.0,1212.0,318.9,374.0,57.0,45.0,16
sample,8wave_32x32,1,160.101,179.010,178.970,1204.3,1201.0,1207.0,396.0,410.0,58.0,46.0,15
sample,8wave_32x32,2,159.904,179.231,179.192,1207.5,1207.0,1208.0,412.1,417.0,59.0,46.0,16
sample,8wave_32x32,3,159.942,179.188,179.149,1208.0,1208.0,1208.0,416.2,420.0,60.0,46.0,15
sample,8wave_32x32,4,159.927,179.205,179.165,1209.0,1209.0,1209.0,417.0,420.0,61.0,46.0,16
sample,8wave_32x32,5,159.885,179.252,179.213,1208.8,1208.0,1209.0,417.1,420.0,62.0,46.0,15
sample,8wave_32x32,6,159.873,179.266,179.226,1208.1,1208.0,1209.0,418.1,421.0,63.0,46.0,15
sample,8wave_32x32,7,159.793,179.355,179.315,1208.1,1208.0,1209.0,418.4,421.0,64.0,46.0,16
sample,8wave_32x32,8,159.807,179.340,179.300,1208.0,1208.0,1208.0,418.8,421.0,64.0,46.0,15
sample,8wave_32x32,9,159.807,179.340,179.300,1208.2,1208.0,1209.0,418.4,421.0,65.0,46.0,16
sample,8wave_32x32,10,159.849,179.292,179.252,1209.0,1209.0,1209.0,418.7,421.0,65.0,46.0,15
sample,8wave_32x32,11,159.852,179.289,179.250,1209.0,1209.0,1209.0,418.9,422.0,66.0,46.0,16
sample,8wave_32x32,12,159.851,179.290,179.250,1208.8,1208.0,1209.0,419.2,422.0,66.0,46.0,16
sample,8wave_32x32,13,159.906,179.228,179.188,1208.1,1208.0,1209.0,418.9,421.0,67.0,46.0,15
sample,8wave_32x32,14,159.888,179.249,179.209,1208.0,1208.0,1208.0,418.1,421.0,67.0,46.0,16
sample,8wave_32x32,15,159.881,179.257,179.217,1208.0,1208.0,1208.0,419.1,421.0,67.0,47.0,15
sample,8wave_32x32,16,159.888,179.249,179.209,1208.0,1208.0,1208.0,418.8,421.0,67.0,47.0,16
sample,8wave_32x32,17,159.958,179.170,179.130,1208.0,1208.0,1208.0,418.7,421.0,67.0,47.0,15
sample,8wave_32x32,18,163.274,175.531,175.492,1194.8,1179.0,1208.0,415.2,419.0,68.0,47.0,16
sample,8wave_32x32,19,160.092,179.020,178.980,1204.0,1200.0,1207.0,417.2,421.0,68.0,47.0,16
sample,8wave_32x32,20,159.842,179.300,179.261,1207.4,1207.0,1208.0,418.1,421.0,68.0,47.0,16
sample,8wave_32x32,21,159.859,179.281,179.241,1208.0,1208.0,1208.0,418.6,421.0,68.0,47.0,15
sample,8wave_32x32,22,159.813,179.333,179.293,1208.0,1208.0,1208.0,418.4,421.0,68.0,47.0,16
sample,8wave_32x32,23,159.783,179.366,179.326,1208.0,1208.0,1208.0,418.7,421.0,68.0,47.0,15
sample,8wave_32x32,24,159.804,179.343,179.303,1209.0,1209.0,1209.0,419.2,422.0,68.0,47.0,16
sample,8wave_32x32,25,159.746,179.408,179.368,1209.0,1209.0,1209.0,418.7,421.0,68.0,47.0,15
sample,8wave_32x32,26,159.789,179.360,179.320,1208.2,1208.0,1209.0,418.4,421.0,68.0,47.0,16
sample,8wave_32x32,27,159.859,179.281,179.241,1208.0,1208.0,1208.0,419.0,422.0,68.0,47.0,16
sample,8wave_32x32,28,159.857,179.284,179.244,1208.0,1208.0,1208.0,419.5,421.0,69.0,47.0,15
sample,8wave_32x32,29,163.233,175.576,175.537,1195.2,1182.0,1208.0,415.9,420.0,69.0,47.0,16
sample,8wave_32x32,30,159.983,179.142,179.102,1205.1,1202.0,1207.0,417.6,421.0,69.0,47.0,16
sample,8wave_32x32,31,159.775,179.375,179.335,1207.5,1207.0,1208.0,419.5,422.0,69.0,47.0,15
sample,8wave_32x32,32,159.806,179.340,179.301,1208.0,1208.0,1208.0,419.1,421.0,69.0,47.0,16
sample,8wave_32x32,33,159.756,179.396,179.357,1208.0,1208.0,1208.0,419.2,423.0,69.0,47.0,15
sample,8wave_32x32,34,159.796,179.352,179.312,1208.0,1208.0,1208.0,419.5,422.0,69.0,47.0,16
sample,8wave_32x32,35,159.820,179.325,179.285,1208.1,1208.0,1209.0,419.4,422.0,69.0,47.0,15
sample,8wave_32x32,36,159.824,179.320,179.280,1208.6,1208.0,1209.0,419.2,422.0,69.0,47.0,16
sample,8wave_32x32,37,159.799,179.349,179.309,1208.0,1208.0,1208.0,418.8,422.0,69.0,47.0,16
sample,8wave_32x32,38,159.839,179.304,179.264,1208.0,1208.0,1208.0,419.5,422.0,69.0,47.0,15
sample,8wave_32x32,39,159.870,179.269,179.229,1208.0,1208.0,1208.0,419.7,422.0,69.0,47.0,16
sample,8wave_32x32,40,159.902,179.233,179.193,1208.0,1208.0,1208.0,419.3,421.0,69.0,47.0,15
sample,8wave_32x32,41,163.227,175.582,175.543,1199.9,1180.0,1208.0,416.4,420.0,69.0,47.0,16
sample,8wave_32x32,42,160.076,179.039,178.999,1200.8,1194.0,1205.0,416.2,420.0,69.0,47.0,16
sample,8wave_32x32,43,159.810,179.336,179.297,1207.1,1206.0,1208.0,417.9,421.0,69.0,47.0,15
sample,8wave_32x32,44,159.859,179.281,179.242,1208.0,1208.0,1208.0,419.6,422.0,69.0,47.0,16
sample,8wave_32x32,45,159.869,179.270,179.230,1208.5,1208.0,1209.0,418.6,421.0,69.0,47.0,16
sample,8wave_32x32,46,159.830,179.313,179.274,1209.0,1209.0,1209.0,419.2,422.0,69.0,47.0,15
